"Date","Industry","Value"
2000-08-01,"Department stores, except discount",0.8655
2000-09-01,"Department stores, except discount",0.8691
2000-10-01,"Department stores, except discount",0.8687
2000-11-01,"Department stores, except discount",0.8658
2000-12-01,"Department stores, except discount",0.8665
2001-01-01,"Department stores, except discount",0.8636
2001-02-01,"Department stores, except discount",0.8678
2001-03-01,"Department stores, except discount",0.8717
2001-04-01,"Department stores, except discount",0.8679
2001-05-01,"Department stores, except discount",0.8668
2001-06-01,"Department stores, except discount",0.8664
2001-07-01,"Department stores, except discount",0.8635
2001-08-01,"Department stores, except discount",0.8579
2001-09-01,"Department stores, except discount",0.8529
2001-10-01,"Department stores, except discount",0.8479
2001-11-01,"Department stores, except discount",0.8436
2001-12-01,"Department stores, except discount",0.8469
2002-01-01,"Department stores, except discount",0.8355
2002-02-01,"Department stores, except discount",0.8218
2002-03-01,"Department stores, except discount",0.8137
2002-04-01,"Department stores, except discount",0.8089
2002-05-01,"Department stores, except discount",0.8003
2002-06-01,"Department stores, except discount",0.7929
2002-07-01,"Department stores, except discount",0.7822
2002-08-01,"Department stores, except discount",0.7699
2002-09-01,"Department stores, except discount",0.7666
2002-10-01,"Department stores, except discount",0.7652
2002-11-01,"Department stores, except discount",0.7702
2002-12-01,"Department stores, except discount",0.7666
2003-01-01,"Department stores, except discount",0.7693
2003-02-01,"Department stores, except discount",0.7547
2003-03-01,"Department stores, except discount",0.7442
2003-04-01,"Department stores, except discount",0.736
2003-05-01,"Department stores, except discount",0.7311
2003-06-01,"Department stores, except discount",0.7258
2003-07-01,"Department stores, except discount",0.7231
2003-08-01,"Department stores, except discount",0.7254
2003-09-01,"Department stores, except discount",0.7239
2003-10-01,"Department stores, except discount",0.7206
2003-11-01,"Department stores, except discount",0.716
2003-12-01,"Department stores, except discount",0.7115
2004-01-01,"Department stores, except discount",0.7001
2004-02-01,"Department stores, except discount",0.7061
2004-03-01,"Department stores, except discount",0.7115
2004-04-01,"Department stores, except discount",0.7137
